year,gdp_level,gdp_growth,bank_credit,bank_credit_growth,leverage_level,leverage_growth,total_assets,total_assets_growth,repos_level,repos_growth,deposits_level,deposits_growth,loan_to_nominal_gdp,credit_to_deposit_ratio
1991,30.85569953764639,,27.782032587880387,,3.8054446179639214,,28.68320893995218,,26.89790574292227,,28.4725,,0.20187318459029682,0.604
1992,30.866212397706246,0.010512860059854745,27.858889487678475,0.07685689979808785,3.6309847436823226,-0.17445987428159881,28.859268884666385,0.17605994471420416,27.2307524827272,0.33284673980493196,28.6073,0.1348,0.18964139205267008,0.544
1993,30.91958628835619,0.05337389064994369,28.049613022721775,0.19072353504330053,3.5130889672796215,-0.1178957764027011,28.98111300442118,0.12184411975479392,27.301877955891147,0.07112547316394568,28.7374,0.13,0.1996621285841433,0.5660000000000001
1994,30.966000071354724,0.046413782998534714,28.128262895620143,0.07864987289836733,2.983363883937031,-0.5297250833425906,29.1010751145257,0.11996211010452029,27.179234543901366,-0.12264341198978101,28.8817,0.1444,0.18769340377485522,0.522
1995,31.030466002989034,0.06446593163430947,28.380359576138236,0.2520966805180933,2.7829845201698973,-0.2003793637671336,29.269998412939945,0.1689232984142457,27.369877106646776,0.1906425627454098,29.0325,0.1508,0.20588377226690027,0.547
1996,31.103479371943635,0.07301336895460153,28.56324425033342,0.18288467419518284,2.788196391123755,0.005211870953857556,29.42139128719563,0.15139287425568426,27.676510600748916,0.30663349410214025,29.1519,0.1194,0.21069894673729186,0.586
1997,31.176260599528742,0.07278122758510719,28.654913450348293,0.09166920001487355,2.732520054564411,-0.05567633655934401,29.53720539568927,0.11581410849364104,27.538993542471875,-0.13751705827704086,29.3133,0.1613,0.19959693970359027,0.551
1998,31.21596024460168,0.03969964507293611,28.80683824317227,0.15192479282397642,2.6984933207805035,-0.034026733783907304,29.704829320116,0.16762392442673146,27.609245744050707,0.07025220157883183,29.4937,0.1805,0.20971997952363355,0.541
1999,31.275967412969024,0.06000716836734554,28.93620574197025,0.1293674987979827,2.8498317039597794,0.15133838317927584,29.882888538305572,0.1780592181895706,27.85203439983349,0.24278865578278186,29.6733,0.1796,0.20811240867753156,0.517
2000,31.36072902043398,0.08476160746495509,29.103396838374202,0.16719109640395047,2.8781615021803475,0.028329798220568136,30.03829860143585,0.1554100631302795,28.020472011626328,0.16843761179283945,29.8286,0.1553,0.21926591850013344,0.536
2001,31.39841963239571,0.0376906119617324,29.263069474748697,0.15967263637449491,2.950525535539377,0.07236403335902963,30.192097598868447,0.15379899743259529,28.17333959278352,0.15286758115719223,29.9874,0.1588,0.23900061682685098,0.531
2002,31.445531877874917,0.04711224547920523,29.405503865069143,0.1424343903204459,2.9063501250966794,-0.04417541044269768,30.362470084834758,0.17037248596631116,28.542737400956312,0.369397808172792,30.1182,0.1308,0.2547132248869525,0.534
2003,31.482865959778177,0.037334081903260596,29.6178195430216,0.2123156779524571,2.858350037422941,-0.048000087673738534,30.462318508073484,0.09984842323872556,28.522166332667457,-0.0205710682888558,30.2379,0.1197,0.2925503359089507,0.569
2004,31.55853340045768,0.07566744067950282,29.760186909191823,0.14236736617022316,2.8353328153622,-0.02301722206074075,30.614049536163474,0.15173102808999062,28.67238204526094,0.1502157125934822,30.3882,0.1503,0.30108358994524365,0.5589999999999999
2005,31.63478065054409,0.07624725008641065,30.02930540395977,0.26911849476794814,2.756486894819009,-0.07884592054319128,30.790363048918085,0.1763135127546107,28.934860069487222,0.26247802422628297,30.542,0.1538,0.34535887231305323,0.647
2006,31.711032446404456,0.07625179586036523,30.343778222152164,0.31447281819239237,2.7218437027121603,-0.03464319210684863,30.95816390862746,0.16780085970937364,29.10807212341932,0.17321205393209738,30.7059,0.1638,0.41492986634003776,0.715
2007,31.788555634132848,0.07752318772839217,30.591742084327155,0.24796386217499133,2.7591244267882153,0.037280724076055094,31.17486410429343,0.21670019566597176,29.324518887238202,0.21644676381888317,30.9257,0.2198,0.45390303299280144,0.7390000000000001
2008,31.86237121643642,0.07381558230357044,30.793078516212727,0.20133643188557215,2.6183163320147678,-0.14080809477344758,31.398287908347857,0.22342380405442697,29.563434882887453,0.2389159956492506,31.1336,0.2079,0.48215491730728544,0.7390000000000001
2009,31.89277140610827,0.030400189671851763,30.954454774391504,0.16137625817877677,2.6558786773642353,0.03756234534946756,31.589668513362366,0.19138060501450838,29.719786554669106,0.15635167178165332,31.3356,0.202,0.5033500720292721,0.7240000000000001
2010,31.96845276186613,0.07568135575785817,31.110656225665576,0.1562014512740717,2.639834976902204,-0.016043700462031296,31.729843139344084,0.14017462598171804,29.770904909855325,0.05111835518621888,31.4911,0.1555,0.5096733893348571,0.722
2011,32.050010507836966,0.0815577459708372,31.30531547273334,0.19465924706776505,2.645273958474423,0.005438981572218893,31.905378739083908,0.17553559973982402,29.989612181178988,0.2187072713236624,31.6592,0.1681,0.5163530557331619,0.757
2012,32.10109626582614,0.051085757989177694,31.462235720615027,0.15692024788168624,2.61542734533705,-0.029846613137372913,32.05237542918855,0.14699669010464333,30.163749206857048,0.17413702567806055,31.7982,0.139,0.5278935983711632,0.78
2013,32.154223559149656,0.05312729332351296,31.59382449422249,0.13158877360746146,2.6047356347469304,-0.01069171059011964,32.194322196867454,0.14194676767890257,30.306107945815782,0.14235873895873397,31.9391,0.1409,0.5290076496181437,0.779
2014,32.21612836260428,0.0619048034546239,31.724381193704826,0.13055669948233728,2.6115002159553846,0.006764581208454246,32.32931081122631,0.13498861435885345,30.426383537651294,0.12027559183551162,32.0776,0.1385,0.5335901071120516,0.778
