term,coef,robust_se,p_value,ci_low,ci_high
const,0.5164219311828366,0.14598902064535693,0.00040408330022275997,0.23028870857966266,0.8025551537860106
crar,-1.4053446605561528,0.7158716192149449,0.04963178305517874,-2.8084272517718167,-0.0022620693404891146
nominal_gdp_growth,0.2492567244314601,0.2505334411939878,0.31978295403917245,-0.24177979723163953,0.7402932460945597
net_npa_ratio,-2.055341566648968,0.7099815309546174,0.003792520549170844,-3.4468797970086276,-0.6638033362893085
change_in_rw,0.8167279387800698,0.3050844496303615,0.007427237808191898,0.21877340526133704,1.4146824722988025
leverage_ratiotrc_to_ta,-1.7500929331523245,1.3711957816776579,0.2018402756417208,-4.437587280993781,0.9374014146891321
