,count,mean,std,min,25%,50%,75%,max
year,23.0,2013.0,6.782329983125268,2002.0,2007.5,2013.0,2018.5,2024.0
nominal_gdp,23.0,131279852037015.17,91864976900126.92,24926137846820.0,52064072218585.0,112335216116390.0,193768822255414.0,330681453690088.0
log_nominal_gdp,23.0,32.23376535244464,0.8017814482904598,30.84693808155976,31.58174624234023,32.35250851815237,32.89738356546158,33.43217665236629
nominal_gdp_growth,22.0,0.1175108441275694,0.03945626397858308,-0.012488214394871,0.10436221461058003,0.12014373337185795,0.13409277368430933,0.1816386065159037
bank_credit,23.0,60101256200000.0,45465053055279.14,5897230000000.0,21465515000000.0,52604590000000.0,91985735000000.0,164321639300000.0
log_bank_credit,23.0,31.34796718727786,0.9975359614881822,29.405503865069143,30.69241030026994,31.59382449422249,32.15070967963651,32.73284683832485
log_bank_credit_growth,22.0,0.15124286242071408,0.06844080351958635,0.0542945683144253,0.09735601004824533,0.14107285273629516,0.19190795341761108,0.3144728181923923
crar,23.0,0.1398607735139424,0.015061301659186795,0.1201640778266686,0.12925066350253628,0.1383055939510019,0.1442726552393182,0.1716090777385077
capital_surplus_ratio,23.0,0.04225207786176851,0.008706532140490202,0.0295555939510019,0.03556813314089225,0.0393789383367125,0.050774324829903295,0.0566090777385077
net_npa_ratio,23.0,0.02504165840572997,0.01634194683529549,0.0062614898490429,0.0115495641439694,0.0192742380237507,0.0341998158137828,0.0596398337863708
change_in_rw,22.0,0.003495800415139541,0.03401905683570012,-0.0572557676375699,-0.019542446780702525,-0.0017144124035070002,0.020497403449571377,0.0948107953628365
leverage_ratiotrc_to_ta,23.0,0.08529191036481192,0.010847996855656376,0.0600480306243129,0.0843469732537761,0.0887079990241665,0.09317037305185849,0.0970787128938718
