,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.4631993735772567,0.12649270280969666,3.6618663629483996,0.0002503844695020223,0.21527823176312277,0.7111205153913907
capital_surplus_ratio,-2.762666393594948,1.4820608629111744,-1.8640708102690957,0.06231176104010371,-5.667452307797204,0.14211952060730804
nominal_gdp_growth,0.4043391179040432,0.2789653340623129,1.4494242421308354,0.147219142740947,-0.14242288979327478,0.9511011256013612
net_npa_ratio,-2.690660131973453,0.909037055087043,-2.9599014879715924,0.003077374288171196,-4.472340020556411,-0.9089802433904954
change_in_rw,0.7289551522040172,0.3654604459218434,1.9946211972824823,0.04608420990189551,0.012665840423256025,1.4452444639847783
leverage_ratiotrc_to_ta,-2.0896213186351353,1.450125326383129,-1.4409936028405375,0.1495864900768942,-4.931814731415459,0.7525720941451888
