spec,n_obs,r2,adj_r2,aic,bic
spec_1_baseline,22,0.7453009622632947,0.6657075129705743,-74.6775316729663,-68.13127695281639
spec_2_replace_capital_with_crar,22,0.7615081098301809,0.6869793941521125,-76.12397222198277,-69.57771750183286
spec_3_core_risk_only,22,0.6162795509003207,0.5523261427170407,-69.66123457258666,-65.2970647591534
spec_4_drop_gdp_control,22,0.7005953722827738,0.6301472245846029,-73.11983853283442,-67.66462626604284
